playlist_id,playlist_owner,playlist,id,name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,key_confidence,mode_confidence,tempo_confidence,time_signature_confidence,end_of_fade_in,start_of_fade_out,mood
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,6VrLYoQKdhu1Jruei06t65,Somebody To You,0.0587,0.526,185098,0.818,0,3,0.333,-5.952,1,0.0358,171.96,4,0.896,0.359,0.701,0.149,0.982,0.19138,179.33351,Happy
37i9dQZF1DWSqBruwoIXkA,Spotify,sad hour,2fooMOezILHFlxkCqq3RRm,Rockland,0.786,0.486,217369,0.402,0.000182,5,0.103,-11.389,1,0.048,125.801,4,0.398,0.798,0.646,0.166,1,0.20893,207.52254,Sad
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,5KCbr5ndeby4y4ggthdiAb,Wonder,0.131,0.333,172693,0.637,0.000018,1,0.149,-4.904,0,0.0581,139.898,4,0.132,0.107,0.337,0.303,0.34,0.20834,167.5668,Happy
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,2EvddT8rcO99bKH0rDHAYG,We Are Tonight,0.0323,0.559,232107,0.812,0,11,0.195,-5.347,1,0.0371,127.911,4,0.472,0.607,0.602,0.696,0.897,2.53678,213.43782,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,0.578,0.604,224695,0.366,0,5,0.133,-7.519,1,0.0282,141.981,4,0.13,0.545,0.58,0.432,1,0.26807,209.58913,Angry
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,1fhFDn9W8ehz6rqomxDUW4,Leave Me Low,0.54,0.733,178560,0.411,0.00169,10,0.182,-11.507,1,0.0407,125.03,4,0.359,0.531,0.463,0.754,0.691,0,176.2859,Chill
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,78nplE9X2ZGvQh3TKgvldE,Rewrite The Stars (with James Arthur & Anne-Marie),0.237,0.67,218293,0.743,0,10,0.465,-4.993,1,0.0393,125.944,4,0.571,0.586,0.42,0.952,0.977,2.74576,211.6615,Happy
37i9dQZF1DWSqBruwoIXkA,Spotify,sad hour,2cEMwE3n0z4Uw4xVwNqDst,Learning To Live Without You,0.747,0.559,193785,0.237,0.00000205,0,0.125,-15.007,1,0.0537,67.442,4,0.174,0.241,0.51,0.014,0.779,0,185.07465,Sad
37i9dQZF1DXdPec7aLTmlC,Spotify,Happy Hits!,1ZLrDPgR7mvuTco3rQK8Pk,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,0.269,0.737,192453,0.747,0,10,0.219,-4.818,1,0.0323,105.943,4,0.447,0.478,0.43,0.655,0.961,0.34222,189.11491,Happy
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,5PAvFGse5jjDH9ke8Mae7D,Just the Way,0.107,0.544,193880,0.829,0,9,0.317,-2.84,1,0.0404,90.048,4,0.815,0.573,0.575,0.026,0.986,0.20898,181.84126,Energetic
